dicom_uid,rows,columns,series_desc,modality
1.2.840.109739.671568005.4240,2048,2048,FOOT_LATERAL,XR
1.2.840.109739.671568005.4240,2048,2048,FOOT_LATERAL,XR
1.2.840.109739.671568005.4240,2048,2048,FOOT_LATERAL,XR
1.2.840.109739.671568005.4240,2048,2048,FOOT_LATERAL,XR
1.2.840.109739.671568005.4240,2048,2048,FOOT_LATERAL,XR
1.2.840.118279.450306819.6283,256,256,BRAIN_T1_AX,MR
1.2.840.118279.450306819.6283,256,256,BRAIN_T1_AX,MR
1.2.840.118279.450306819.6283,256,256,BRAIN_T1_AX,MR
1.2.840.118279.450306819.6283,256,256,BRAIN_T1_AX,MR
1.2.840.118279.450306819.6283,256,256,BRAIN_T1_AX,MR
1.2.840.12014.898384865.2739,512,512,BRAIN_WO_CON,CT
1.2.840.12014.898384865.2739,512,512,BRAIN_WO_CON,CT
1.2.840.12014.898384865.2739,512,512,BRAIN_WO_CON,CT
1.2.840.12014.898384865.2739,512,512,BRAIN_WO_CON,CT
1.2.840.12014.898384865.2739,512,512,BRAIN_WO_CON,CT
1.2.840.123606.658393161.271,512,512,BRAIN_WO_CON,CT
1.2.840.123606.658393161.271,512,512,BRAIN_WO_CON,CT
1.2.840.123606.658393161.271,512,512,BRAIN_WO_CON,CT
1.2.840.123606.658393161.271,512,512,BRAIN_WO_CON,CT
1.2.840.123606.658393161.271,512,512,BRAIN_WO_CON,CT
1.2.840.135582.136784717.1283,1024,1024,RENAL_ULTRASOUND,US
1.2.840.135582.136784717.1283,1024,1024,RENAL_ULTRASOUND,US
1.2.840.135582.136784717.1283,1024,1024,RENAL_ULTRASOUND,US
1.2.840.135582.136784717.1283,1024,1024,RENAL_ULTRASOUND,US
1.2.840.135582.136784717.1283,1024,1024,RENAL_ULTRASOUND,US
1.2.840.139465.809817720.4524,1024,1024,CAROTID_DOPPLER,US
1.2.840.139465.809817720.4524,1024,1024,CAROTID_DOPPLER,US
1.2.840.139465.809817720.4524,1024,1024,CAROTID_DOPPLER,US
1.2.840.139465.809817720.4524,1024,1024,CAROTID_DOPPLER,US
1.2.840.139465.809817720.4524,1024,1024,CAROTID_DOPPLER,US
1.2.840.152430.89504361.1615,2048,2048,PELVIS_AP,XR
1.2.840.152430.89504361.1615,2048,2048,PELVIS_AP,XR
1.2.840.152430.89504361.1615,2048,2048,PELVIS_AP,XR
1.2.840.152430.89504361.1615,2048,2048,PELVIS_AP,XR
1.2.840.152430.89504361.1615,2048,2048,PELVIS_AP,XR
1.2.840.160596.238616924.3487,512,512,ABDOMEN_W_CON,CT
1.2.840.160596.238616924.3487,512,512,ABDOMEN_W_CON,CT
1.2.840.160596.238616924.3487,512,512,ABDOMEN_W_CON,CT
1.2.840.160596.238616924.3487,512,512,ABDOMEN_W_CON,CT
1.2.840.160596.238616924.3487,512,512,ABDOMEN_W_CON,CT
1.2.840.166348.444565830.2739,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.166348.444565830.2739,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.166348.444565830.2739,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.166348.444565830.2739,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.166348.444565830.2739,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.172760.666617966.7213,2048,2048,CHEST_PA,XR
1.2.840.172760.666617966.7213,2048,2048,CHEST_PA,XR
1.2.840.172760.666617966.7213,2048,2048,CHEST_PA,XR
1.2.840.172760.666617966.7213,2048,2048,CHEST_PA,XR
1.2.840.172760.666617966.7213,2048,2048,CHEST_PA,XR
1.2.840.17298.525054532.5559,512,512,SINUS_CORONAL,CT
1.2.840.17298.525054532.5559,512,512,SINUS_CORONAL,CT
1.2.840.17298.525054532.5559,512,512,SINUS_CORONAL,CT
1.2.840.17298.525054532.5559,512,512,SINUS_CORONAL,CT
1.2.840.17298.525054532.5559,512,512,SINUS_CORONAL,CT
1.2.840.17443.378857629.9255,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.17443.378857629.9255,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.17443.378857629.9255,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.17443.378857629.9255,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.17443.378857629.9255,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.178211.688829522.637,2048,2048,ABDOMEN_KUB,XR
1.2.840.178211.688829522.637,2048,2048,ABDOMEN_KUB,XR
1.2.840.178211.688829522.637,2048,2048,ABDOMEN_KUB,XR
1.2.840.178211.688829522.637,2048,2048,ABDOMEN_KUB,XR
1.2.840.178211.688829522.637,2048,2048,ABDOMEN_KUB,XR
1.2.840.190711.788317685.2241,512,512,ABDOMEN_W_CON,CT
1.2.840.190711.788317685.2241,512,512,ABDOMEN_W_CON,CT
1.2.840.190711.788317685.2241,512,512,ABDOMEN_W_CON,CT
1.2.840.190711.788317685.2241,512,512,ABDOMEN_W_CON,CT
1.2.840.190711.788317685.2241,512,512,ABDOMEN_W_CON,CT
1.2.840.194670.280883080.6649,1024,1024,RENAL_ULTRASOUND,US
1.2.840.194670.280883080.6649,1024,1024,RENAL_ULTRASOUND,US
1.2.840.194670.280883080.6649,1024,1024,RENAL_ULTRASOUND,US
1.2.840.194670.280883080.6649,1024,1024,RENAL_ULTRASOUND,US
1.2.840.194670.280883080.6649,1024,1024,RENAL_ULTRASOUND,US
1.2.840.202798.270614008.2058,256,256,BRAIN_T1_AX,MR
1.2.840.202798.270614008.2058,256,256,BRAIN_T1_AX,MR
1.2.840.202798.270614008.2058,256,256,BRAIN_T1_AX,MR
1.2.840.202798.270614008.2058,256,256,BRAIN_T1_AX,MR
1.2.840.202798.270614008.2058,256,256,BRAIN_T1_AX,MR
1.2.840.206630.416778567.2939,256,256,BRAIN_T1_AX,MR
1.2.840.206630.416778567.2939,256,256,BRAIN_T1_AX,MR
1.2.840.206630.416778567.2939,256,256,BRAIN_T1_AX,MR
1.2.840.206630.416778567.2939,256,256,BRAIN_T1_AX,MR
1.2.840.206630.416778567.2939,256,256,BRAIN_T1_AX,MR
1.2.840.211382.458343745.3106,2048,2048,PELVIS_AP,XR
1.2.840.211382.458343745.3106,2048,2048,PELVIS_AP,XR
1.2.840.211382.458343745.3106,2048,2048,PELVIS_AP,XR
1.2.840.211382.458343745.3106,2048,2048,PELVIS_AP,XR
1.2.840.211382.458343745.3106,2048,2048,PELVIS_AP,XR
1.2.840.211424.809201646.1895,512,512,SINUS_CORONAL,CT
1.2.840.211424.809201646.1895,512,512,SINUS_CORONAL,CT
1.2.840.211424.809201646.1895,512,512,SINUS_CORONAL,CT
1.2.840.211424.809201646.1895,512,512,SINUS_CORONAL,CT
1.2.840.211424.809201646.1895,512,512,SINUS_CORONAL,CT
1.2.840.215151.49750301.3759,512,512,SINUS_CORONAL,CT
1.2.840.215151.49750301.3759,512,512,SINUS_CORONAL,CT
1.2.840.215151.49750301.3759,512,512,SINUS_CORONAL,CT
1.2.840.215151.49750301.3759,512,512,SINUS_CORONAL,CT
1.2.840.215151.49750301.3759,512,512,SINUS_CORONAL,CT
1.2.840.220422.554618815.4494,1024,1024,THYROID_US,US
1.2.840.220422.554618815.4494,1024,1024,THYROID_US,US
1.2.840.220422.554618815.4494,1024,1024,THYROID_US,US
1.2.840.220422.554618815.4494,1024,1024,THYROID_US,US
1.2.840.220422.554618815.4494,1024,1024,THYROID_US,US
1.2.840.238245.264490556.5383,512,512,BRAIN_WO_CON,CT
1.2.840.238245.264490556.5383,512,512,BRAIN_WO_CON,CT
1.2.840.238245.264490556.5383,512,512,BRAIN_WO_CON,CT
1.2.840.238245.264490556.5383,512,512,BRAIN_WO_CON,CT
1.2.840.238245.264490556.5383,512,512,BRAIN_WO_CON,CT
1.2.840.243293.545851942.8533,512,512,BRAIN_WO_CON,CT
1.2.840.243293.545851942.8533,512,512,BRAIN_WO_CON,CT
1.2.840.243293.545851942.8533,512,512,BRAIN_WO_CON,CT
1.2.840.243293.545851942.8533,512,512,BRAIN_WO_CON,CT
1.2.840.243293.545851942.8533,512,512,BRAIN_WO_CON,CT
